体
	生命力
		HP
	持久力
		ST
	魔法力
		MP
	魔力
		魔法攻撃力
	法力
		魔法防御力
	腕力
		物理攻撃力
	耐久力
		物理防御力
	炎適性力
	氷適性力
	風適性力
	重適性力
	雷適性力
	地適性力
	光適性力
	闇適性力
	命適性力
	毒適性力
		各種属性攻撃力・防御力
	脚力
		移動速度
		一部格闘技威力
	瞬発力
		移動加速度
	体幹力
		構え動作速度
	制動力
		クールタイム軽減
	集中力
		チャージ動作全般の継続性能
	思考力
		複雑な動作時の性能低下の軽減
	計算力
		詠唱動作速度
	踏破力
		地形によるマイナス影響の減衰
	看破力
		一部罠関連鑑定系アビリティの成功率補正
		隠れたモノの発見率補正
		ステータス感知補正
	観察力
		鑑定系アビリティの成功率補正
		隠れたモノの発見率の時間経過による増加量補正
	免疫力
		肉体系状態異常に対する耐性
	精神力
		精神系状態異常に対する耐性
技
	魔術
		各属性に満遍なく
		素直で使いやすい攻防技が一揃い
	仙術
		コスパが良い
		性能が周囲の環境に大きく左右される
	闘気術
		ST消費
		ほぼ自己バフ
		武技と連動するタイプの技もちらほら
	念動術
		ST消費
		装備部位増やすなど変わり種の自己バフ系
		魔力依存の純物理遠距離技が少々
	聖術
		対魔法防御技がたくさん
		対魔法系の付与もそこそこ
		攻撃はほぼ無し
	呪術
		コスパよし
		起動に条件のあるものがほとんど
		即効性がない
	結界術
	召喚術
	精霊術
	巫術
	符術
	式術
	占術
	追跡術
	調教術
	剣術
	棒術
	長柄術
	抜刀術
	盾術
	大盾術
	拳術
	蹴脚術
	罠術
	投擲術
	忍術

	歩行術
	走行術
	水泳術
	野営術
	軽業術
	奇術
	潜伏術
	偽装術
	隠遁術
	逃走術
	舞踏術
	声楽術
	休息術
	運搬術

	調薬術
	調理術
	鍛冶術
	裁縫術
	木工術
	石工術
	陶工術
	書記術
	細工術
	建築術
	錬金術
	解体術
	機工術
	魔導術
	鑑定術
	採掘術
	伐採術
	採集術
	栽培術
	畜産術
	収穫術
	狩猟術
	漁術	
心
	平常心
		HP低下時にアビリティ成功率補正
	○○への信仰心
		該当する存在の加護の影響度合いに補正
